"Country or Area","Year","Value"
"Germany","2017","53797.6040213906"
"Germany","2016","54366.2216610908"
"Germany","2015","55626.7145407623"
"Germany","2014","55847.307276372"
"Germany","2013","56966.2485469166"
"Germany","2012","57597.4050917645"
"Germany","2011","57051.2380222893"
"Germany","2010","58139.515606275"
"Germany","2009","59335.4542717472"
"Germany","2008","61777.0427927292"
"Germany","2007","62899.194577794"
"Germany","2006","64913.7475682088"
"Germany","2005","68701.2120478839"
"Germany","2004","71989.2479472102"
"Germany","2003","76953.5695195922"
"Germany","2002","80304.8655902891"
"Germany","2001","84298.2526710818"
"Germany","2000","87798.42190582"
"Germany","1999","91717.2435924251"
"Germany","1998","92585.2413937903"
"Germany","1997","97432.9179224919"
"Germany","1996","101811.805379837"
"Germany","1995","104349.855209361"
"Germany","1994","106615.128347155"
"Germany","1993","110368.430710712"
"Germany","1992","109571.464087737"
"Germany","1991","112964.720960177"
"Germany","1990","118555.322425238"
"Greece","2020","9685.19804184179"
"Greece","2019","9991.41089111647"
"Greece","2018","10217.0748353246"
"Greece","2017","10096.5202481121"
"Greece","2016","9797.52429609185"
"Greece","2015","10145.9443779503"
"Greece","2014","10340.3491826565"
"Greece","2013","10533.5395624305"
"Greece","2012","10776.0231320289"
"Greece","2011","10936.9694574552"
"Greece","2010","11082.1938277642"
"Greece","2009","10864.0335109731"
"Greece","2008","11241.698270783"
"Greece","2007","11362.4149881569"
"Greece","2006","11482.282687136"
"Greece","2005","11407.3324663326"
"Greece","2004","11324.7377652331"
"Greece","2003","11297.3249141988"
"Greece","2002","11196.4723022467"
"Greece","2001","11112.9773493718"
"Greece","2000","11802.4413185375"
"Greece","1999","11794.9556877666"
"Greece","1998","11831.3319402611"
"Greece","1997","11620.8670746004"
"Greece","1996","11666.7017822303"
"Greece","1995","11506.9508290313"
"Greece","1994","11330.4872483982"
"Greece","1993","11259.72091414"
"Greece","1992","11216.1028213758"
"Greece","1991","11157.2079189854"
"Greece","1990","11155.5195407156"
"Hungary","2020","8219.72809643028"
"Hungary","2019","8233.71739219064"
"Hungary","2018","8291.90932958388"
"Hungary","2017","8353.32998617125"
"Hungary","2016","8333.86585391741"
"Hungary","2015","8384.19340359439"
"Hungary","2014","8339.73424124691"
"Hungary","2013","8582.59432070547"
"Hungary","2012","8777.02914575585"
"Hungary","2011","8741.93269422378"
"Hungary","2010","8893.60704836928"
"Hungary","2009","8855.81748846349"
"Hungary","2008","9026.09989525398"
"Hungary","2007","9266.6618217888"
"Hungary","2006","9512.94163866533"
"Hungary","2005","9705.31085622548"
"Hungary","2004","9985.03995914088"
"Hungary","2003","10421.046208348"
"Hungary","2002","10305.8421711563"
"Hungary","2001","10457.077519262"
"Hungary","2000","10591.0545568931"
"Hungary","1999","10566.6215284812"
"Hungary","1998","10556.3863002571"
"Hungary","1997","10703.0982906072"
"Hungary","1996","10879.0836350136"
"Hungary","1995","10743.7355610442"
"Hungary","1994","10781.8798741662"
"Hungary","1993","11104.4282431329"
"Hungary","1992","11404.6508745228"
"Hungary","1991","12634.2048037574"
"Hungary","1990","12829.7823475993"
"Iceland","2020","589.570928118216"
"Iceland","2019","570.24611268967"
"Iceland","2018","609.902479360497"
"Iceland","2017","610.402921065217"
"Iceland","2016","622.335249948628"
"Iceland","2015","631.286360960613"
"Iceland","2014","625.854112955652"
"Iceland","2013","614.887004283857"
"Iceland","2012","612.726362064277"
"Iceland","2011","636.678500390292"
"Iceland","2010","655.515332123856"
"Iceland","2009","666.666087866225"
"Iceland","2008","674.275237737229"
"Iceland","2007","687.183439394196"
"Iceland","2006","680.575812868588"
"Iceland","2005","648.04133706283"
"Iceland","2004","659.119502873356"
"Iceland","2003","664.058213122075"
"Iceland","2002","674.176471021202"
"Iceland","2001","668.061484342954"
"Iceland","2000","658.8851030144"
"Iceland","1999","659.47583878788"
"Iceland","1998","652.982316280196"
"Iceland","1997","653.268921537579"
"Iceland","1996","649.435101638658"
"Iceland","1995","629.694890492769"
"Iceland","1994","630.019890189255"
"Iceland","1993","622.383008045744"
"Iceland","1992","607.945842167576"
"Iceland","1991","602.391697173494"
"Iceland","1990","606.421851669481"
"Ireland","2020","15226.568001927"
"Ireland","2019","15048.0134321295"
"Ireland","2018","15456.8732229299"
"Ireland","2017","15148.9744013423"
"Ireland","2016","14735.2351564437"
"Ireland","2015","14346.4474708847"
"Ireland","2014","13828.2953190234"
"Ireland","2013","13717.9026981369"
"Ireland","2012","13424.5561436126"
"Ireland","2011","12751.8970785905"
"Ireland","2010","12804.3196351653"
"Ireland","2009","13122.4655244843"
"Ireland","2008","13515.3564102923"
"Ireland","2007","13687.6451227175"
"Ireland","2006","14555.4206475637"
"Ireland","2005","14420.4403656444"
"Ireland","2004","14598.1487964638"
"Ireland","2003","15545.5112470249"
"Ireland","2002","14867.6229238189"
"Ireland","2001","14955.5814477214"
"Ireland","2000","14864.7720787335"
"Ireland","1999","15410.1899283293"
"Ireland","1998","15790.3450226019"
"Ireland","1997","15404.3696836572"
"Ireland","1996","15371.4493134681"
"Ireland","1995","15035.411065505"
"Ireland","1994","14921.9754188671"
"Ireland","1993","14930.4268748551"
"Ireland","1992","14742.3688480797"
"Ireland","1991","14511.9259433383"
"Ireland","1990","14180.7484020022"
"Italy","2020","42780.0658611034"
"Italy","2019","41982.4511113324"
"Italy","2018","42981.9455187096"
"Italy","2017","43672.2767292651"
"Italy","2016","43681.281890238"
"Italy","2015","44112.2216613676"
"Italy","2014","44050.8118473919"
"Italy","2013","45008.7657225027"
"Italy","2012","46466.4892313905"
"Italy","2011","45911.7678360583"
"Italy","2010","47340.838742254"
"Italy","2009","47799.4301475332"
"Italy","2008","47888.2214123235"
"Italy","2007","48499.3090050629"
"Italy","2006","47769.1413613474"
"Italy","2005","49204.7458643058"
"Italy","2004","48682.4219883824"
"Italy","2003","50823.4272251942"
"Italy","2002","50573.9112306602"
"Italy","2001","52253.4134320825"
"Italy","2000","51913.3864883732"
"Italy","1999","52004.0932291698"
"Italy","1998","52009.0793119609"
"Italy","1997","52473.2826830872"
"Italy","1996","51924.890114885"
"Italy","1995","51417.0716722269"
"Italy","1994","50786.4155287219"
"Italy","1993","50389.6103539085"
"Italy","1992","50086.4718126789"
"Italy","1991","50269.5427047692"
"Italy","1990","49389.9839830785"
"Japan","2020","28394.0658272909"
"Japan","2019","28474.3516870837"
"Japan","2018","28654.8047637966"
"Japan","2017","29021.9566107083"
"Japan","2016","29211.6940310886"
"Japan","2015","29255.590782002"
"Japan","2014","29598.3948639392"
"Japan","2013","30093.9529860992"
"Japan","2012","30140.5597649776"
"Japan","2011","30782.9167127609"
"Japan","2010","31982.731702142"
"Japan","2009","32409.6609371589"
"Japan","2008","32910.578424211"
"Japan","2007","33659.324930433"
"Japan","2006","34230.2890584517"
"Japan","2005","34738.429636512"
"Japan","2004","34689.2519871616"
"Japan","2003","34948.6011378511"
"Japan","2002","35789.5961845342"
"Japan","2001","36542.1074155777"
"Japan","2000","37627.9675398376"
"Japan","1999","38198.3999177398"
"Japan","1998","38494.8986978209"
"Japan","1997","40095.337514779"
"Japan","1996","40487.7318716202"
"Japan","1995","41668.8518588918"
"Japan","1994","42762.0868414891"
"Japan","1993","42638.6127578509"
"Japan","1992","43459.6651186039"
"Japan","1991","43454.5439333079"
"Japan","1990","44058.7554148646"
"Latvia","2020","1718.05901124659"
"Latvia","2019","1743.02741456765"
"Latvia","2018","1742.29604277532"
"Latvia","2017","1826.73342084632"
"Latvia","2016","1795.90120346459"
"Latvia","2015","1772.68947733423"
"Latvia","2014","1868.47758487872"
"Latvia","2013","1821.78246237637"
"Latvia","2012","1798.83779675072"
"Latvia","2011","1755.17152731255"
"Latvia","2010","1805.8880497635"
"Latvia","2009","1872.32536360073"
"Latvia","2008","1855.33056135256"
"Latvia","2007","1868.53366320992"
"Latvia","2006","1823.40984969157"
"Latvia","2005","1870.14429928038"
"Latvia","2004","1823.92601327142"
"Latvia","2003","1856.57189101312"
"Latvia","2002","1944.96701061521"
"Latvia","2001","1971.50662893536"
"Latvia","2000","1885.83162009882"
"Latvia","1999","1887.59066430965"
"Latvia","1998","2021.59643687866"
"Latvia","1997","2108.40389825348"
"Latvia","1996","2143.19670290308"
"Latvia","1995","2179.94929843856"
"Latvia","1994","2190.97463677695"
"Latvia","1993","2362.7069269346"
"Latvia","1992","3083.88682756677"
"Latvia","1991","3576.29069541082"
"Latvia","1990","3623.78448879757"
"Liechtenstein","2020","19.3097407415855"
"Liechtenstein","2019","19.5680294028905"
"Liechtenstein","2018","18.9001558673465"
"Liechtenstein","2017","18.637823035908"
"Liechtenstein","2016","19.1259305821678"
"Liechtenstein","2015","19.012827319558"
"Liechtenstein","2014","19.170594082717"
"Liechtenstein","2013","18.9889625475105"
"Liechtenstein","2012","19.7966713096172"
"Liechtenstein","2011","19.360238120438"
"Liechtenstein","2010","19.0126723938303"
"Liechtenstein","2009","19.5884176841605"
"Liechtenstein","2008","19.7024516526742"
"Liechtenstein","2007","19.505416344247"
"Liechtenstein","2006","19.2694067090905"
"Liechtenstein","2005","18.4918456145215"
"Liechtenstein","2004","18.0048857702103"
"Liechtenstein","2003","17.907906724819"
"Liechtenstein","2002","17.7415112063705"
"Liechtenstein","2001","17.5647948477552"
"Liechtenstein","2000","16.691974194675"
"Liechtenstein","1999","17.125309821145"
"Liechtenstein","1998","17.8175213828158"
"Liechtenstein","1997","17.934557617241"
"Liechtenstein","1996","18.2229123372068"
"Liechtenstein","1995","17.9232769038465"
"Liechtenstein","1994","17.9326895016953"
"Liechtenstein","1993","17.871199833095"
"Liechtenstein","1992","18.7122001702982"
"Liechtenstein","1991","19.1653768636995"
"Liechtenstein","1990","19.236332802834"
"Lithuania","2020","2863.68669899156"
"Lithuania","2019","2956.64178444316"
"Lithuania","2018","3013.32727275692"
"Lithuania","2017","3208.06352412777"
"Lithuania","2016","3271.79692067597"
"Lithuania","2015","3371.05690643546"
"Lithuania","2014","3401.69038330031"
"Lithuania","2013","3393.41503005009"
"Lithuania","2012","3460.28060744719"
"Lithuania","2011","3451.09660155679"
"Lithuania","2010","3605.06137819556"
"Lithuania","2009","3630.17265846494"
"Lithuania","2008","3714.38149547206"
"Lithuania","2007","3846.40789613615"
"Lithuania","2006","3884.32789216651"
"Lithuania","2005","3885.79521313489"
"Lithuania","2004","3892.756377884"
"Lithuania","2003","3878.85919452942"
"Lithuania","2002","3820.70419232777"
"Lithuania","2001","3759.56453092008"
"Lithuania","2000","3842.69428140763"
"Lithuania","1999","3993.46108182799"
"Lithuania","1998","4229.22251760075"
"Lithuania","1997","4348.31426143424"
"Lithuania","1996","4321.9337409718"
"Lithuania","1995","4401.16709703633"
"Lithuania","1994","4652.20901003711"
"Lithuania","1993","5132.5455340725"
"Lithuania","1992","5875.01419013531"
"Lithuania","1991","6736.55135685726"
"Lithuania","1990","6945.49222629036"
"Luxembourg","2020","580.551783525343"
"Luxembourg","2019","572.021605395656"
"Luxembourg","2018","586.493825720902"
"Luxembourg","2017","587.729281987365"
"Luxembourg","2016","584.927168475309"
"Luxembourg","2015","574.929613139679"
"Luxembourg","2014","572.388782431104"
"Luxembourg","2013","563.033334749465"
"Luxembourg","2012","558.520264079028"
"Luxembourg","2011","562.786519556886"
"Luxembourg","2010","588.06091148618"
"Luxembourg","2009","591.430422120282"
"Luxembourg","2008","591.813800589423"
"Luxembourg","2007","581.909226965508"
"Luxembourg","2006","572.94758946202"
"Luxembourg","2005","576.813786898706"
"Luxembourg","2004","575.891511194169"
"Luxembourg","2003","585.720810888648"
"Luxembourg","2002","595.653322961537"
"Luxembourg","2001","595.981750012529"
"Luxembourg","2000","593.319228399089"
"Luxembourg","1999","599.849163663589"
"Luxembourg","1998","595.319779067921"
"Luxembourg","1997","598.408803235984"
"Luxembourg","1996","600.820465076699"
"Luxembourg","1995","594.820960291538"
"Luxembourg","1994","579.507164611011"
"Luxembourg","1993","598.52895271789"
"Luxembourg","1992","589.658926186697"
"Luxembourg","1991","598.92932734339"
"Luxembourg","1990","588.914187667334"
"Malta","2020","193.809051798373"
"Malta","2019","192.10665095429"
"Malta","2018","184.953327265025"
"Malta","2017","177.878909673981"
"Malta","2016","180.996526208341"
"Malta","2015","171.088526079887"
"Malta","2014","159.50015130404"
"Malta","2013","147.796615972918"
"Malta","2012","150.228377116602"
"Malta","2011","146.06616088327"
"Malta","2010","147.760848397107"
"Malta","2009","160.671927357999"
"Malta","2008","147.734722249977"
"Malta","2007","230.018155840163"
"Malta","2006","225.412593574417"
"Malta","2005","219.537497252972"
"Malta","2004","217.558771286642"
"Malta","2003","207.331775314782"
"Malta","2002","200.929739639731"
"Malta","2001","194.163182926066"
"Malta","2000","190.439704847673"
